"","crimeDate","temp","Theft"
"763","2021-02-01",29.5,0.198979591836735
"764","2021-02-02",26,0.219387755102041
"765","2021-02-03",25.5,0.163265306122449
"766","2021-02-04",32.2,0.183673469387755
"767","2021-02-05",17.1,0.188775510204082
"768","2021-02-06",8.7,0.127551020408163
"769","2021-02-07",1.3,0.127551020408163
"770","2021-02-08",5.4,0.153061224489796
"771","2021-02-09",8.2,0.193877551020408
"772","2021-02-10",9.7,0.173469387755102
"773","2021-02-11",11.7,0.224489795918367
"774","2021-02-12",13.8,0.301020408163265
"775","2021-02-13",7.8,0.173469387755102
"776","2021-02-14",0.1,0.112244897959184
"777","2021-02-15",3.5,0
"778","2021-02-16",11.6,0.0306122448979592
"779","2021-02-17",15.5,0.137755102040816
"780","2021-02-18",20.6,0.142857142857143
"781","2021-02-19",16.2,0.275510204081633
"782","2021-02-20",16.8,0.204081632653061
"783","2021-02-21",25.6,0.153061224489796
"784","2021-02-22",32.7,0.26530612244898
"785","2021-02-23",40.4,0.326530612244898
"786","2021-02-24",42,0.25
"787","2021-02-25",33.9,0.280612244897959
"788","2021-02-26",33.6,0.270408163265306
"789","2021-02-27",40.3,0.285714285714286
"790","2021-02-28",42.8,0.224489795918367
"791","2021-03-01",32.5,0.301020408163265
"792","2021-03-02",29.6,0.306122448979592
"793","2021-03-03",44.3,0.341836734693878
"794","2021-03-04",35.7,0.352040816326531
"795","2021-03-05",34.1,0.346938775510204
"796","2021-03-06",36.5,0.25
"797","2021-03-07",36.5,0.107142857142857
"798","2021-03-08",50.8,0.285714285714286
"799","2021-03-09",52.6,0.26530612244898
"800","2021-03-10",61,0.224489795918367
"801","2021-03-11",55.3,0.26530612244898
"802","2021-03-12",45.2,0.346938775510204
"803","2021-03-13",43.2,0.229591836734694
"804","2021-03-14",45.4,0.13265306122449
"805","2021-03-15",35,0.178571428571429
"806","2021-03-16",34.8,0.209183673469388
"807","2021-03-17",35.7,0.183673469387755
"808","2021-03-18",38.6,0.178571428571429
"809","2021-03-19",39,0.301020408163265
"810","2021-03-20",40.9,0.270408163265306
"811","2021-03-21",49.8,0.224489795918367
"812","2021-03-22",56.5,0.336734693877551
"813","2021-03-23",56.8,0.301020408163265
