"","month","day","year","CrimeTotalAssaultTheft.year.1","temp","Crime_Total","Theft","Assault"
"400","Feb","Friday",2021,2021,17.1,0.247877758913413,0.188775510204082,0.1
"401","Feb","Saturday",2021,2021,8.7,0.112054329371817,0.127551020408163,0.0333333333333333
"402","Feb","Sunday",2021,2021,1.3,0.0797962648556876,0.127551020408163,0.266666666666667
"403","Feb","Monday",2021,2021,5.4,0.132427843803056,0.153061224489796,0.15
"404","Feb","Tuesday",2021,2021,8.2,0.174872665534805,0.193877551020408,0.333333333333333
"405","Feb","Wednesday",2021,2021,9.7,0.149405772495756,0.173469387755102,0.15
"406","Feb","Thursday",2021,2021,11.7,0.171477079796265,0.224489795918367,0.2
"407","Feb","Friday",2021,2021,13.8,0.254668930390492,0.301020408163265,0.166666666666667
"408","Feb","Saturday",2021,2021,7.8,0.142614601018676,0.173469387755102,0.3
"409","Feb","Sunday",2021,2021,0.1,0.115449915110357,0.112244897959184,0.116666666666667
"410","Feb","Monday",2021,2021,3.5,0,0,0.1
"411","Feb","Tuesday",2021,2021,11.6,0.0509337860780985,0.0306122448979592,0.3
"412","Feb","Wednesday",2021,2021,15.5,0.168081494057725,0.137755102040816,0.283333333333333
"413","Feb","Thursday",2021,2021,20.6,0.186757215619694,0.142857142857143,0.333333333333333
"414","Feb","Friday",2021,2021,16.2,0.264855687606112,0.275510204081633,0.333333333333333
"415","Feb","Saturday",2021,2021,16.8,0.230899830220713,0.204081632653061,0.266666666666667
"416","Feb","Sunday",2021,2021,25.6,0.215619694397284,0.153061224489796,0.35
"417","Feb","Monday",2021,2021,32.7,0.268251273344652,0.26530612244898,0.216666666666667
"418","Feb","Tuesday",2021,2021,40.4,0.356536502546689,0.326530612244898,0.4
"419","Feb","Wednesday",2021,2021,42,0.312393887945671,0.25,0.316666666666667
"420","Feb","Thursday",2021,2021,33.9,0.33446519524618,0.280612244897959,0.466666666666667
"421","Feb","Friday",2021,2021,33.6,0.398981324278438,0.270408163265306,0.516666666666667
"422","Feb","Saturday",2021,2021,40.3,0.392190152801358,0.285714285714286,0.35
"423","Feb","Sunday",2021,2021,42.8,0.385398981324278,0.224489795918367,0.383333333333333
"424","Mar","Monday",2021,2021,32.5,0.471986417657046,0.301020408163265,0.166666666666667
"425","Mar","Tuesday",2021,2021,29.6,0.290322580645161,0.306122448979592,0.216666666666667
"426","Mar","Wednesday",2021,2021,44.3,0.390492359932088,0.341836734693878,0.383333333333333
"427","Mar","Thursday",2021,2021,35.7,0.33446519524618,0.352040816326531,0
"428","Mar","Friday",2021,2021,34.1,0.33106960950764,0.346938775510204,0.0833333333333333
"429","Mar","Saturday",2021,2021,36.5,0.32427843803056,0.25,0.55
"430","Mar","Sunday",2021,2021,36.5,0.261460101867572,0.107142857142857,0.233333333333333
"431","Mar","Monday",2021,2021,50.8,0.34295415959253,0.285714285714286,0.316666666666667
"432","Mar","Tuesday",2021,2021,52.6,0.426146010186757,0.26530612244898,0.45
"433","Mar","Wednesday",2021,2021,61,0.368421052631579,0.224489795918367,0.4
"434","Mar","Thursday",2021,2021,55.3,0.269949066213922,0.26530612244898,0.216666666666667
"435","Mar","Friday",2021,2021,45.2,0.33616298811545,0.346938775510204,0.333333333333333
"436","Mar","Saturday",2021,2021,43.2,0.288624787775891,0.229591836734694,0.166666666666667
"437","Mar","Sunday",2021,2021,45.4,0.205432937181664,0.13265306122449,0.2
"438","Mar","Monday",2021,2021,35,0.266553480475382,0.178571428571429,0.133333333333333
"439","Mar","Tuesday",2021,2021,34.8,0.246179966044143,0.209183673469388,0.333333333333333
"440","Mar","Wednesday",2021,2021,35.7,0.297113752122241,0.183673469387755,0.466666666666667
"441","Mar","Thursday",2021,2021,38.6,0.188455008488964,0.178571428571429,0.233333333333333
"442","Mar","Friday",2021,2021,39,0.283531409168082,0.301020408163265,0.233333333333333
"443","Mar","Saturday",2021,2021,40.9,0.261460101867572,0.270408163265306,0.2
"444","Mar","Sunday",2021,2021,49.8,0.361629881154499,0.224489795918367,0.4
"445","Mar","Monday",2021,2021,56.5,0.458404074702886,0.336734693877551,0.366666666666667
"446","Mar","Tuesday",2021,2021,56.8,0.268251273344652,0.301020408163265,0.15
"447","Mar","Wednesday",2021,2021,55.2,0.285229202037351,0.295918367346939,0.5
"448","Mar","Thursday",2021,2021,47,0.225806451612903,0.255102040816327,0.116666666666667
"449","Mar","Friday",2021,2021,39.3,0.295415959252971,0.23469387755102,0.433333333333333
"450","Mar","Saturday",2021,2021,47.2,0.241086587436333,0.147959183673469,0.366666666666667
"451","Mar","Sunday",2021,2021,47.6,0.34804753820034,0.23469387755102,0.483333333333333
"452","Mar","Monday",2021,2021,43.6,0.275042444821732,0.214285714285714,0.316666666666667
"453","Mar","Tuesday",2021,2021,56.8,0.32937181663837,0.346938775510204,0.3
"454","Mar","Wednesday",2021,2021,42.1,0.261460101867572,0.270408163265306,0.45
"455","Apr","Thursday",2021,2021,33.4,0.475382003395586,0.413265306122449,0.416666666666667
"456","Apr","Friday",2021,2021,36,0.290322580645161,0.36734693877551,0.316666666666667
"457","Apr","Saturday",2021,2021,51.3,0.34295415959253,0.275510204081633,0.55
"458","Apr","Sunday",2021,2021,59.8,0.351443123938879,0.188775510204082,0.4
"459","Apr","Monday",2021,2021,67,0.32937181663837,0.25,0.383333333333333
"460","Apr","Tuesday",2021,2021,69.7,0.359932088285229,0.280612244897959,0.45
"461","Apr","Wednesday",2021,2021,70.2,0.421052631578947,0.392857142857143,0.55
"462","Apr","Thursday",2021,2021,63.5,0.252971137521222,0.270408163265306,0.266666666666667
"463","Apr","Friday",2021,2021,54.1,0.32937181663837,0.173469387755102,0.483333333333333
"464","Apr","Saturday",2021,2021,52.8,0.302207130730051,0.25,0.483333333333333
"465","Apr","Sunday",2021,2021,50.1,0.244482173174873,0.178571428571429,0.4
"466","Apr","Monday",2021,2021,54.5,0.32597623089983,0.244897959183673,0.5
"467","Apr","Tuesday",2021,2021,49.4,0.308998302207131,0.285714285714286,0.366666666666667
"468","Apr","Wednesday",2021,2021,44.3,0.222410865874363,0.229591836734694,0.25
"469","Apr","Thursday",2021,2021,44.7,0.305602716468591,0.321428571428571,0.5
"470","Apr","Friday",2021,2021,46.9,0.32088285229202,0.326530612244898,0.283333333333333
"471","Apr","Saturday",2021,2021,44.1,0.305602716468591,0.229591836734694,0.266666666666667
"472","Apr","Sunday",2021,2021,49.2,0.200339558573854,0.198979591836735,0.316666666666667
"473","Apr","Monday",2021,2021,50.9,0.185059422750424,0.26530612244898,0.1
