"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Friday","Monday","Saturday","Sunday","Thursday","Tuesday","Wednesday","year","temp","linearStreet2019_2021.CRIME_NUM"
"190",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2019,74.2,0.573426573426573
"191",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2019,83.4,0.653846153846154
"192",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2019,77.5,0.541958041958042
"193",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2019,71.8,0.576923076923077
"194",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2019,81.9,0.755244755244755
"195",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2019,79.4,0.702797202797203
"196",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2019,81,0.597902097902098
"197",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2019,77.2,0.608391608391608
"198",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2019,80.5,0.559440559440559
"199",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2019,77.4,0.601398601398601
"200",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2019,85.5,0.63986013986014
"201",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2019,85,0.72027972027972
"202",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2019,73.6,0.608391608391608
"203",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2019,70.3,0.58041958041958
"204",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2019,69.9,0.615384615384615
"205",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2019,71.2,0.594405594405594
"206",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2019,73.3,0.58041958041958
"207",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2019,75.6,0.695804195804196
"208",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2019,79.7,0.629370629370629
"209",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2019,81.1,0.762237762237762
"210",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2019,77.3,0.618881118881119
"211",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2019,73.2,0.604895104895105
"212",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2019,68.6,0.618881118881119
"213",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2019,68.5,0.63986013986014
"214",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2019,72,0.622377622377622
"215",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2019,75.4,0.653846153846154
"216",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2019,78.7,0.737762237762238
"217",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2019,78.8,0.618881118881119
"218",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2019,76.1,0.625874125874126
"219",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2019,76.7,0.629370629370629
"220",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2019,79.1,0.629370629370629
"221",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2019,72.7,0.615384615384615
"222",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2019,74.2,0.706293706293706
"223",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2019,74.4,0.751748251748252
"224",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2019,76,0.538461538461538
"225",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2019,75.2,0.597902097902098
"226",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2019,71.9,0.597902097902098
"227",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2019,70.1,0.629370629370629
"228",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2019,71.8,0.625874125874126
"229",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2019,73.3,0.671328671328671
"230",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2019,73.5,0.587412587412587
"231",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2019,75.6,0.625874125874126
"232",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2019,74.3,0.576923076923077
"233",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2019,73.1,0.531468531468531
"234",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2019,71.4,0.576923076923077
"235",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2019,67.6,0.629370629370629
"236",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2019,66.8,0.674825174825175
"237",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2019,68.6,0.622377622377622
"238",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2019,70.2,0.594405594405594
"239",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2019,71.6,0.622377622377622
"240",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2019,68.2,0.58041958041958
"241",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2019,69.8,0.653846153846154
